date,Lunch ,Dinner ,Total
Wed 1 Jan 20,7.067,18.459,25.526
Thu 2 Jan 20,8.848,18.964,27.816
Fri 3 Jan 20,8.386,16.223,24.608
Sat 4 Jan 20,9.238,18.178,27.416
Sun 5 Jan 20,6.81,12.82,19.637
Mon 6 Jan 20,3.133,11.66,14.794
Tue 7 Jan 20,2.257,9.544,11.801
Wed 8 Jan 20,2.773,8.039,10.895
Thu 9 Jan 20,3.858,8.427,12.285
Fri 10 Jan 20,3.902,14.198,18.105
Sat 11 Jan 20,5.223,18.485,23.707
Sun 12 Jan 20,6.511,12.144,18.655
Mon 13 Jan 20,3.4,11.225,14.625
Tue 14 Jan 20,2.556,9.882,12.438
Wed 15 Jan 20,4.037,11.263,15.338
Thu 16 Jan 20,2.33,13.319,15.649
Fri 17 Jan 20,3.283,14.329,17.653
Sat 18 Jan 20,8.12,18.662,26.782
Sun 19 Jan 20,9.694,10.722,20.416
Mon 20 Jan 20,3.528,10.118,13.686
Tue 21 Jan 20,2.563,10.673,13.236
Wed 22 Jan 20,3.549,10.522,14.171
Thu 23 Jan 20,2.449,14.237,16.686
Fri 24 Jan 20,4.956,15.559,20.606
Sat 25 Jan 20,9.132,19.311,28.443
Sun 26 Jan 20,7.695,15.232,22.927
Mon 27 Jan 20,3.109,12.119,15.232
Tue 28 Jan 20,5.35,10.394,15.744
Wed 29 Jan 20,3.108,13.284,16.402
Thu 30 Jan 20,4.207,14.301,18.552
Fri 31 Jan 20,5.177,16.404,21.581
Sat 1 Feb 20,7.384,19.301,26.748
Sun 2 Feb 20,6.937,12.574,19.511
Mon 3 Feb 20,4.032,10.801,14.842
Tue 4 Feb 20,4.228,11.421,15.649
Wed 5 Feb 20,3.436,10.354,13.79
Thu 6 Feb 20,3.285,13.819,17.109
Fri 7 Feb 20,5.038,15.244,20.281
Sat 8 Feb 20,9.184,19.293,28.477
Sun 9 Feb 20,5.789,9.442,15.263
Mon 10 Feb 20,2.903,11.796,14.699
Tue 11 Feb 20,2.953,13.955,16.908
Wed 12 Feb 20,3.734,15.709,19.443
Thu 13 Feb 20,2.862,16.654,19.516
Fri 14 Feb 20,6.162,20.242,26.405
Sat 15 Feb 20,10.836,21.101,31.937
Sun 16 Feb 20,7.874,13.251,21.129
Mon 17 Feb 20,3.896,12.526,16.422
Tue 18 Feb 20,4.167,10.31,14.477
Wed 19 Feb 20,3.197,12.407,15.616
Thu 20 Feb 20,3.422,11.581,15.007
