date,service,kitchen,Management,dishwasher,Total
01/01/2020,17,12,0,3,31
02/01/2020,9,8,0,2,20
03/01/2020,15,8,0,2,26
04/01/2020,12,9,0,2,23
05/01/2020,11,9,1,2,24
06/01/2020,12,11,0,4,29
07/01/2020,18,14,0,4,38
08/01/2020,17,13,6,5,43
09/01/2020,17,12,0,4,34
10/01/2020,15,9,0,3,27
11/01/2020,12,8,0,3,23
12/01/2020,12,11,0,3,26
13/01/2020,13,11,0,3,28
14/01/2020,14,12,2,5,35
15/01/2020,12,10,3,5,31
16/01/2020,14,10,0,3,28
17/01/2020,16,9,1,3,30
18/01/2020,11,8,0,3,22
19/01/2020,13,9,0,3,25
20/01/2020,14,12,0,5,32
21/01/2020,15,10,0,4,31
22/01/2020,12,11,4,4,33
23/01/2020,13,9,0,4,28
24/01/2020,12,9,0,3,25
25/01/2020,10,7,0,3,20
26/01/2020,12,8,0,3,23
27/01/2020,12,11,0,4,27
28/01/2020,11,9,0,4,27
29/01/2020,12,11,1,3,28
30/01/2020,11,9,1,3,25
31/01/2020,13,8,0,4,24
01/02/2020,11,7,0,3,21
02/02/2020,13,9,0,3,25
03/02/2020,13,11,0,5,30
04/02/2020,13,9,0,4,28
05/02/2020,14,11,1,5,32
06/02/2020,12,10,0,5,26
07/02/2020,13,9,0,5,27
08/02/2020,11,7,0,3,21
09/02/2020,14,11,0,4,29
10/02/2020,13,12,0,6,31
11/02/2020,14,10,1,3,29
12/02/2020,13,8,2,4,27
13/02/2020,12,9,0,4,26
14/02/2020,9,7,0,4,20
15/02/2020,9,7,0,3,18
16/02/2020,13,9,0,3,25
17/02/2020,14,9,1,5,30
18/02/2020,14,11,0,4,31
19/02/2020,12,10,2,5,29
20/02/2020,12,11,0,6,30
21/02/2020,11,8,0,3,23
22/02/2020,10,7,0,3,20
23/02/2020,10,8,0,3,21
24/02/2020,12,12,1,6,31
25/02/2020,12,10,2,5,29
26/02/2020,13,10,0,5,28
27/02/2020,13,10,1,4,29
28/02/2020,11,10,1,6,28
29/02/2020,11,8,0,4,23
01/03/2020,11,9,0,4,24
02/03/2020,16,13,0,7,37
03/03/2020,13,11,0,6,31
04/03/2020,14,15,5,8,41
05/03/2020,15,11,1,6,33
06/03/2020,12,10,0,4,27
07/03/2020,9,7,0,3,19
08/03/2020,11,9,0,3,23
09/03/2020,13,13,0,5,34
10/03/2020,16,14,0,8,40
11/03/2020,11,9,4,6,31
12/03/2020,15,12,1,6,36
13/03/2020,16,12,1,6,36
14/03/2020,12,10,1,4,27
15/03/2020,24,27,1,10,62
