date,Lunch,Dinner,Total
01/01/2020,7.067,18.459,25.526
02/01/2020,8.848,18.964,27.816
03/01/2020,8.386,16.223,24.608
04/01/2020,9.238,18.178,27.416
05/01/2020,6.810,12.820,19.637
06/01/2020,3.133,11.660,14.794
07/01/2020,2.257,9.544,11.801
08/01/2020,2.773,8.039,10.895
09/01/2020,3.858,8.427,12.285
10/01/2020,3.902,14.198,18.105
11/01/2020,5.223,18.485,23.707
12/01/2020,6.511,12.144,18.655
13/01/2020,3.400,11.225,14.625
14/01/2020,2.556,9.882,12.438
15/01/2020,4.037,11.263,15.338
16/01/2020,2.33,13.319,15.649
17/01/2020,3.283,14.329,17.653
18/01/2020,8.12,18.662,26.782
19/01/2020,9.694,10.722,20.416
20/01/2020,3.528,10.118,13.686
21/01/2020,2.563,10.673,13.236
22/01/2020,3.549,10.522,14.171
23/01/2020,2.449,14.237,16.686
24/01/2020,4.956,15.559,20.606
25/01/2020,9.132,19.311,28.443
26/01/2020,7.695,15.232,22.927
27/01/2020,3.109,12.119,15.232
28/01/2020,5.35,10.394,15.744
29/01/2020,3.108,13.284,16.402
30/01/2020,4.207,14.301,18.552
31/01/2020,5.177,16.404,21.581
01/02/2020,7.384,19.301,26.748
02/02/2020,6.937,12.574,19.511
03/02/2020,4.032,10.801,14.842
04/02/2020,4.228,11.421,15.649
05/02/2020,3.436,10.354,13.790
06/02/2020,3.285,13.819,17.109
07/02/2020,5.038,15.244,20.281
08/02/2020,9.184,19.293,28.477
09/02/2020,5.789,9.442,15.263
10/02/2020,2.903,11.796,14.699
11/02/2020,2.953,13.955,16.908
12/02/2020,3.734,15.709,19.443
13/02/2020,2.862,16.654,19.516
14/02/2020,6.162,20.242,26.405
15/02/2020,10.836,21.101,31.937
16/02/2020,7.874,13.251,21.129
17/02/2020,3.896,12.526,16.422
18/02/2020,4.167,10.31,14.477
19/02/2020,3.197,12.407,15.616
20/02/2020,3.422,11.581,15.007
21/02/2020,6.75,16.673,23.459
22/02/2020,10.193,20.499,30.691
23/02/2020,7.629,15.874,23.503
24/02/2020,5.101,9.293,14.399
25/02/2020,4.275,11.568,15.845
26/02/2020,3.863,11.37,15.232
27/02/2020,4.492,11.203,15.732
28/02/2020,3.494,14.695,18.189
29/02/2020,6.926,17.876,24.802
01/03/2020,7.102,12.306,19.408
02/03/2020,1.728,10.099,11.829
03/03/2020,2.59,11.385,13.974
04/03/2020,3.244,7.456,10.699
05/03/2020,2.521,11.465,13.986
06/03/2020,4.883,14.945,19.859
07/03/2020,9.291,19.342,28.634
08/03/2020,6.975,14.498,21.473
09/03/2020,3.177,9.095,12.272
10/03/2020,2.914,6.94,9.854
11/03/2020,2.697,9.545,12.241
12/03/2020,3.019,8.145,11.164
13/03/2020,1.944,8.408,10.358
14/03/2020,5.254,7.729,12.983
15/03/2020,2.542,1.077,3.620
16/03/2020,0,0,0
17/03/2020,0,0,0
18/03/2020,0,0,0
19/03/2020,0,0,0
20/03/2020,0,0,0
21/03/2020,0,0,0
22/03/2020,0,0,0
23/03/2020,0,0,0
24/03/2020,0,0,0
25/03/2020,0,0,0
26/03/2020,0,0,0
27/03/2020,0,0,0
28/03/2020,0,0,0
29/03/2020,0,0,0
30/03/2020,0,0,0
31/03/2020,0,0,0
01/04/2020,0,0,0
02/04/2020,0,0,0
03/04/2020,0,0,0
04/04/2020,0,0,0
05/04/2020,0,0,0
06/04/2020,0,0,0
07/04/2020,0,0,0
08/04/2020,0,0,0
09/04/2020,0,0,0
10/04/2020,0,0,0
11/04/2020,0,0,0
12/04/2020,0,0,0
13/04/2020,0,0,0
14/04/2020,0,0,0
15/04/2020,0,0,0
16/04/2020,0,0,0
17/04/2020,0,0,0
18/04/2020,0,0,0
19/04/2020,0,0,0
20/04/2020,0,0,0
21/04/2020,0,0,0
22/04/2020,0,0,0
23/04/2020,0,0,0
24/04/2020,0,0,0
25/04/2020,0,328,328
26/04/2020,0,0,0
27/04/2020,0,0,0
28/04/2020,0,0,0
29/04/2020,0,0,0
30/04/2020,0,0,0
01/05/2020,0,0,0
02/05/2020,0,0,0
03/05/2020,0,0,0
04/05/2020,0,0,0
05/05/2020,0,0,0
06/05/2020,0,0,0
07/05/2020,0,0,0
08/05/2020,0,0,0
09/05/2020,0,0,0
10/05/2020,0,66,66
11/05/2020,0,0,0
12/05/2020,0,0,0
13/05/2020,17,0,17
14/05/2020,0,0,0
15/05/2020,0,0,0
16/05/2020,0,0,0
