date,service,kitchen,Management,dishwasher,Total
01/01/2020,4.287,2.960,0,781,8.028
02/01/2020,2.608,2.205,0,620,5.637
03/01/2020,3.689,2.019,78,569,6.355
04/01/2020,3.219,2.464,0,636,6.319
05/01/2020,2.205,1.843,132,476,4.656
06/01/2020,1.762,1.664,42,525,4.239
07/01/2020,2.069,1.659,46,491,4.513
08/01/2020,1.856,1.363,609,591,4.675
09/01/2020,2.042,1.528,42,455,4.236
10/01/2020,2.635,1.608,0,477,4.856
11/01/2020,2.810,1.929,0,599,5.339
12/01/2020,2.311,2.018,0,509,4.837
13/01/2020,1.845,1.588,0,508,4.115
14/01/2020,1.708,1.534,252,642,4.378
15/01/2020,1.772,1.606,444,690,4.758
16/01/2020,2.137,1.528,26,516,4.353
17/01/2020,2.859,1.534,191,528,5.257
18/01/2020,3.072,2.194,0,753,6.019
19/01/2020,2.571,1.848,0,596,5.015
20/01/2020,1.873,1.681,6,641,4.395
21/01/2020,2.027,1.379,42,564,4.069
22/01/2020,1.764,1.614,561,570,4.621
23/01/2020,2.214,1.562,0,661,4.617
24/01/2020,2.525,1.790,0,663,5.206
25/01/2020,2.833,2.048,0,758,5.638
26/01/2020,2.756,1.826,0,613,5.350
27/01/2020,1.850,1.722,0,568,4.141
28/01/2020,1.802,1.458,0,680,4.192
29/01/2020,1.952,1.731,200,567,4.526
30/01/2020,2.021,1.682,127,634,4.599
31/01/2020,2.728,1.637,0,803,5.168
01/02/2020,2.880,1.945,0,721,5.546
02/02/2020,2.502,1.794,0,517,4.812
03/02/2020,1.956,1.559,16,771,4.460
04/02/2020,2.044,1.402,74,665,4.375
05/02/2020,1.962,1.483,135,632,4.439
06/02/2020,2.004,1.648,0,795,4.527
07/02/2020,2.618,1.883,0,1.001,5.502
08/02/2020,3.161,2.068,0,736,5.965
09/02/2020,2.105,1.728,0,611,4.445
10/02/2020,1.848,1.747,0,873,4.580
11/02/2020,2.313,1.633,120,539,4.846
12/02/2020,2.435,1.618,323,855,5.286
13/02/2020,2.382,1.730,0,810,5.002
14/02/2020,2.443,1.904,0,992,5.339
15/02/2020,2.866,2.136,0,873,5.875
16/02/2020,2.654,1.903,0,669,5.227
17/02/2020,2.307,1.548,128,837,4.897
18/02/2020,2.030,1.610,0,569,4.472
19/02/2020,1.837,1.573,242,762,4.508
20/02/2020,1.870,1.668,59,886,4.557
21/02/2020,2.472,1.857,0,709,5.383
22/02/2020,3.091,2.182,0,854,6.127
23/02/2020,2.345,1.872,0,689,4.906
24/02/2020,1.779,1.690,97,895,4.535
25/02/2020,1.978,1.575,238,732,4.603
26/02/2020,1.905,1.548,0,803,4.256
27/02/2020,2.074,1.625,159,606,4.549
28/02/2020,2.086,1.804,132,1.073,5.095
29/02/2020,2.752,2.016,0,868,5.636
01/03/2020,2.065,1.829,0,684,4.578
02/03/2020,1.888,1.531,0,879,4.4
03/03/2020,1.837,1.567,0,834,4.319
04/03/2020,1.488,1.557,495,809,4.427
05/03/2020,2.032,1.551,142,783,4.584
06/03/2020,2.376,1.932,0,873,5.345
07/03/2020,2.663,2.099,0,760,5.522
08/03/2020,2.364,1.917,0,650,4.932
09/03/2020,1.616,1.613,0,646,4.120
10/03/2020,1.612,1.392,0,807,3.893
11/03/2020,1.377,1.152,437,746,3.787
12/03/2020,1.707,1.376,123,637,3.979
13/03/2020,1.642,1.295,68,629,3.749
14/03/2020,1.516,1.354,82,538,3.490
15/03/2020,872,991,30,368,2.261
16/03/2020,73,0,0,0,73
17/03/2020,0,0,0,0,104
18/03/2020,0,0,0,0,0
19/03/2020,0,0,0,0,0
20/03/2020,0,0,0,0,0
21/03/2020,0,0,0,0,0
22/03/2020,0,0,0,0,0
23/03/2020,0,0,0,0,0
24/03/2020,0,0,0,0,52
25/03/2020,0,0,0,0,0
26/03/2020,0,0,0,0,0
27/03/2020,0,0,0,0,0
28/03/2020,0,0,0,0,0
29/03/2020,0,0,0,0,0
30/03/2020,0,0,0,0,0
31/03/2020,0,0,0,0,0
01/04/2020,0,0,0,0,0
02/04/2020,0,0,0,0,0
03/04/2020,0,0,0,0,0
04/04/2020,0,0,0,0,0
05/04/2020,0,0,0,0,0
06/04/2020,0,0,0,0,0
07/04/2020,0,0,0,0,0
08/04/2020,0,0,0,0,0
09/04/2020,0,0,0,0,0
10/04/2020,0,0,0,0,0
11/04/2020,0,0,0,0,0
12/04/2020,0,0,0,0,0
13/04/2020,0,0,0,0,0
14/04/2020,0,0,0,0,0
15/04/2020,0,0,0,0,0
16/04/2020,0,0,0,0,0
17/04/2020,0,0,0,0,0
18/04/2020,0,0,0,0,0
19/04/2020,0,0,0,0,0
20/04/2020,0,0,0,0,0
21/04/2020,0,0,0,0,0
22/04/2020,0,0,0,0,0
23/04/2020,0,0,0,0,0
24/04/2020,0,0,0,0,0
25/04/2020,0,0,0,0,0
26/04/2020,0,0,0,0,0
27/04/2020,0,0,0,0,0
28/04/2020,0,0,0,0,0
29/04/2020,0,0,0,0,0
30/04/2020,0,0,0,0,0
01/05/2020,0,0,0,0,0
02/05/2020,0,0,0,0,0
03/05/2020,127,0,0,0,127
04/05/2020,0,0,0,0,0
05/05/2020,0,0,0,0,0
06/05/2020,0,0,0,0,0
07/05/2020,0,0,0,0,0
08/05/2020,0,0,0,0,0
09/05/2020,0,0,0,0,0
10/05/2020,0,0,0,0,0
11/05/2020,0,0,0,0,0
12/05/2020,0,0,0,0,0
13/05/2020,0,0,0,0,0
14/05/2020,0,62,0,0,62
15/05/2020,0,0,0,0,0
16/05/2020,0,0,0,53,53
17/05/2020,0,0,0,0,0
18/05/2020,0,0,0,0,0
19/05/2020,0,0,0,0,0
20/05/2020,0,0,0,0,0
21/05/2020,0,0,0,0,0
22/05/2020,0,0,0,0,0
23/05/2020,0,0,0,0,0
24/05/2020,0,0,0,0,0
25/05/2020,0,0,0,0,0
26/05/2020,0,0,0,0,0
27/05/2020,0,0,0,0,0
28/05/2020,0,0,0,0,0
29/05/2020,0,0,0,0,0
30/05/2020,0,0,0,0,0
31/05/2020,0,123,419,0,542
01/06/2020,3.254,2.123,0,194,5.571
02/06/2020,1.599,1.122,0,84,2.805
03/06/2020,1.221,994,43,87,2.345
04/06/2020,1.270,995,0,100,2.364
05/06/2020,1.191,1.125,0,196,2.512
06/06/2020,1.155,1.252,0,198,2.605
07/06/2020,999,1.227,0,103,2.328
08/06/2020,1.013,1.037,0,209,2.258
09/06/2020,789,920,0,216,1.925
10/06/2020,1.070,990,0,107,2.167
11/06/2020,1.164,934,0,103,2.201
12/06/2020,1.275,1.081,0,257,2.614
13/06/2020,1.555,1.382,0,250,3.187
14/06/2020,1.033,1.051,0,211,2.295
15/06/2020,830,1.185,0,167,2.182
16/06/2020,878,1.014,0,238,2.130
17/06/2020,1.045,1.013,0,253,2.312
18/06/2020,953,1.171,0,223,2.347
19/06/2020,1.294,1.062,0,253,2.610
20/06/2020,1.146,1.349,177,227,2.900
21/06/2020,1.192,1.161,0,307,2.660
22/06/2020,1.061,1.028,0,244,2.334
23/06/2020,1.911,596,0,0,2.506
24/06/2020,2.003,376,0,0,2.379
25/06/2020,2.557,82,0,0,2.639
26/06/2020,2.688,0,0,0,2.688
27/06/2020,2.468,544,0,100,3.112
28/06/2020,1.432,1.068,0,317,2.817
29/06/2020,846,1.210,0,89,2.144
30/06/2020,1.105,684,0,122,1.912
01/07/2020,1.284,1.080,0,223,2.586
02/07/2020,1.262,1.406,0,199,2.867
03/07/2020,1.549,1.219,0,486,3.254
04/07/2020,2.053,1.357,0,483,3.894
05/07/2020,1.622,1.233,0,435,3.290
06/07/2020,953,1.251,0,196,2.400
07/07/2020,1.390,996,0,216,2.602
08/07/2020,1.055,1.031,74,296,2.456
09/07/2020,1.087,1.253,121,196,2.658
10/07/2020,1.746,1.169,0,392,3.307
11/07/2020,2.199,1.501,0,557,4.257
12/07/2020,1.679,1.402,0,477,3.557
13/07/2020,1.390,1.241,0,237,2.868
14/07/2020,1.420,1.008,94,222,2.744
15/07/2020,1.394,1.157,141,232,2.924
16/07/2020,1.251,1.270,0,203,2.725
17/07/2020,1.808,1.264,0,397,3.468
18/07/2020,2.571,1.217,0,385,4.173
19/07/2020,1.788,1.282,0,490,3.56
20/07/2020,1.485,1.310,0,211,3.006
21/07/2020,1.517,876,34,196,2.623
22/07/2020,1.350,1.174,114,204,2.842
23/07/2020,1.518,1.349,0,205,3.072
24/07/2020,1.552,1.128,0,362,3.042
25/07/2020,2.047,1.427,0,413,3.888
26/07/2020,1.696,1.183,0,456,3.335
27/07/2020,1.174,1.155,0,263,2.592
28/07/2020,1.543,1.081,0,273,2.897
29/07/2020,1.665,1.266,23,261,3.215
30/07/2020,1.307,1.246,66,258,2.877
31/07/2020,1.821,1.184,0,405,3.41
01/08/2020,2.217,1.200,0,556,3.973
02/08/2020,1.510,1.142,0,510,3.162
03/08/2020,1.136,1.121,0,348,2.766
04/08/2020,1.462,1.068,12,358,2.900
05/08/2020,1.790,1.208,70,349,3.416
06/08/2020,1.488,1.326,0,355,3.332
07/08/2020,1.594,1.274,0,519,3.387
08/08/2020,2.309,1.348,0,669,4.326
09/08/2020,1.789,1.359,0,418,3.566
10/08/2020,1.398,1.328,0,273,2.999
11/08/2020,1.611,1.027,0,376,3.014
12/08/2020,2.767,300,61,170,3.297
13/08/2020,2.179,760,0,193,3.132
14/08/2020,2.061,1.117,0,493,3.671
15/08/2020,2.372,1.412,0,652,4.436
16/08/2020,1.518,1.226,0,405,3.149
17/08/2020,1.252,1.194,0,259,2.705
18/08/2020,1.367,1.145,0,354,2.866
19/08/2020,1.510,1.304,28,343,3.185
20/08/2020,1.245,1.350,0,364,2.959
21/08/2020,1.497,1.384,0,484,3.366
22/08/2020,1.602,1.471,0,601,3.675
23/08/2020,1.718,1.152,0,401,3.272
24/08/2020,1.065,1.177,61,352,2.655
25/08/2020,1.273,992,227,337,2.829
26/08/2020,1.535,953,227,335,3.050
27/08/2020,1.274,1.101,0,341,2.876
28/08/2020,1.989,1.067,0,491,3.546
29/08/2020,1.978,1.449,0,610,4.171
30/08/2020,1.726,947,0,398,3.070
31/08/2020,1.150,1.230,0,410,2.790
01/09/2020,1.336,858,215,439,2.958
02/09/2020,1.266,1.091,314,447,3.276
03/09/2020,1.241,1.008,0,516,2.766
04/09/2020,1.989,1.281,0,720,3.990
05/09/2020,2.071,1.438,0,647,4.290
06/09/2020,1.471,1.083,0,493,3.046
07/09/2020,1.233,951,77,371,2.832
08/09/2020,1.098,962,215,392,2.793
09/09/2020,1.081,960,295,312,2.786
10/09/2020,1.277,963,12,364,2.617
11/09/2020,1.907,1.128,31,379,3.444
12/09/2020,1.931,1.229,56,557,3.773
13/09/2020,1.525,1.065,0,489,3.079
14/09/2020,1.115,1.086,74,354,2.829
15/09/2020,1.2,976,0,363,2.539
16/09/2020,1.071,1.014,54,351,2.49
17/09/2020,1.374,1.020,61,349,2.804
18/09/2020,1.647,1.231,20,408,3.306
19/09/2020,1.930,1.392,0,412,3.735
20/09/2020,1.156,1.110,0,372,2.638
21/09/2020,941,1.104,219,284,2.911
22/09/2020,1.01,1.022,56,236,2.324
23/09/2020,811,933,176,222,2.141
24/09/2020,907,1.073,34,239,2.396
25/09/2020,1.273,1.164,54,325,2.990
26/09/2020,1.755,1.421,0,403,3.579
27/09/2020,1.110,1.024,0,256,2.390
28/09/2020,963,942,85,232,2.221
29/09/2020,734,1.005,31,181,2.064
30/09/2020,830,800,146,157,1.932
01/10/2020,734,786,0,218,1.823
02/10/2020,1.185,953,51,285,2.475
03/10/2020,1.212,925,0,354,2.491
04/10/2020,1.109,987,0,529,2.626
05/10/2020,559,845,112,175,1.885
06/10/2020,724,855,0,69,1.649
07/10/2020,846,855,119,166,1.986
08/10/2020,620,802,206,169,1.797
09/10/2020,1.107,767,0,195,2.070
10/10/2020,1.271,1.084,0,323,2.678
11/10/2020,1.028,954,0,232,2.215
12/10/2020,687,836,21,168,1.713
13/10/2020,832,827,0,177,1.836
14/10/2020,1.197,857,0,161,2.215
15/10/2020,383,128,75,120,706
16/10/2020,682,126,0,157,965
17/10/2020,107,0,0,0,107
18/10/2020,0,0,0,0,0
19/10/2020,0,0,0,0,0
20/10/2020,0,0,0,0,0
21/10/2020,0,0,0,0,0
22/10/2020,109,0,47,0,156
23/10/2020,0,0,96,0,96
24/10/2020,0,0,106,0,106
25/10/2020,105,0,0,0,105
26/10/2020,72,0,0,0,72
27/10/2020,0,0,24,0,24
28/10/2020,0,0,0,0,0
29/10/2020,151,74,135,0,360
30/10/2020,81,0,0,0,110
31/10/2020,0,0,0,0,0
01/11/2020,84,0,0,0,84
02/11/2020,0,0,0,0,0
03/11/2020,0,0,0,0,0
04/11/2020,0,0,0,0,0
05/11/2020,183,0,115,0,417
06/11/2020,0,0,0,0,0
07/11/2020,0,0,0,0,0
08/11/2020,61,0,0,0,61
09/11/2020,0,0,0,0,0
10/11/2020,0,0,0,0,90
11/11/2020,0,0,0,0,109
12/11/2020,0,0,0,0,128
13/11/2020,0,0,0,0,119
14/11/2020,31,0,0,0,31
15/11/2020,0,0,0,0,0
16/11/2020,0,0,0,0,98
17/11/2020,0,0,0,0,106
18/11/2020,65,0,143,0,332
19/11/2020,31,0,0,0,194
20/11/2020,79,0,0,0,293
21/11/2020,0,0,0,0,0
22/11/2020,0,0,0,0,0
23/11/2020,0,0,0,0,128
24/11/2020,0,0,0,0,114
25/11/2020,0,0,0,0,109
26/11/2020,0,0,0,0,128
27/11/2020,0,0,0,0,114
28/11/2020,53,0,0,0,53
29/11/2020,0,0,0,0,0
30/11/2020,0,0,0,0,125
01/12/2020,0,0,0,0,0
02/12/2020,0,0,0,0,0
03/12/2020,0,0,0,0,0
04/12/2020,0,0,0,0,0
05/12/2020,0,0,0,0,0
06/12/2020,0,0,0,0,0
07/12/2020,0,0,0,0,0
08/12/2020,0,0,0,0,0
09/12/2020,0,0,71,0,71
10/12/2020,0,0,0,0,0
11/12/2020,49,0,0,0,49
12/12/2020,13,0,0,0,13
13/12/2020,0,0,0,0,0
14/12/2020,0,0,0,0,0
15/12/2020,0,0,0,0,0
16/12/2020,0,0,0,0,0
17/12/2020,60,0,0,0,60
18/12/2020,183,240,0,181,605
19/12/2020,35,0,0,0,35
20/12/2020,28,0,0,0,28
21/12/2020,0,377,0,42,489
22/12/2020,65,454,0,0,519
23/12/2020,162,1.324,305,262,2.052
24/12/2020,152,762,0,192,1.244
25/12/2020,384,563,254,95,1.390
26/12/2020,0,142,0,38,180
27/12/2020,0,117,0,0,117
28/12/2020,0,237,0,0,296
29/12/2020,169,303,124,0,596
30/12/2020,106,501,215,87,909
31/12/2020,314,548,177,92,1.204
01/01/2021,230,43,0,54,328
02/01/2021,0,0,0,0,0
03/01/2021,0,0,0,0,0
04/01/2021,0,0,0,0,0
05/01/2021,109,0,0,0,236
06/01/2021,0,0,0,0,106
07/01/2021,0,0,0,0,0
08/01/2021,74,0,92,0,166
09/01/2021,86,0,0,0,86
10/01/2021,0,0,0,0,0
11/01/2021,72,0,0,0,72
12/01/2021,90,0,0,0,90
13/01/2021,0,0,0,0,0
14/01/2021,0,0,123,0,123
15/01/2021,0,0,154,0,154
16/01/2021,26,0,0,0,26
17/01/2021,0,0,0,0,0
18/01/2021,0,0,0,0,0
19/01/2021,0,0,0,0,0
20/01/2021,0,0,0,0,0
21/01/2021,0,0,0,0,0
22/01/2021,26,0,0,0,26
23/01/2021,10,0,0,0,10
24/01/2021,0,0,0,0,0
25/01/2021,0,0,0,0,0
26/01/2021,0,0,0,0,0
27/01/2021,0,0,0,0,0
28/01/2021,0,0,0,0,0
29/01/2021,17,0,0,0,17
30/01/2021,44,0,0,0,44
31/01/2021,0,0,0,0,0
01/02/2021,0,0,0,0,0
02/02/2021,0,0,0,0,0
03/02/2021,0,0,0,0,0
04/02/2021,0,0,0,0,0
05/02/2021,0,0,0,0,0
06/02/2021,0,0,0,0,0
07/02/2021,0,0,0,0,0
08/02/2021,0,0,0,0,0
09/02/2021,0,0,0,0,0
10/02/2021,0,0,0,0,0
11/02/2021,0,0,0,0,0
12/02/2021,0,0,0,0,0
13/02/2021,0,0,0,0,0
14/02/2021,0,0,0,0,0
15/02/2021,0,0,0,0,0
16/02/2021,0,0,0,0,0
17/02/2021,0,0,0,0,0
18/02/2021,0,0,0,0,0
19/02/2021,0,0,0,0,0
20/02/2021,0,0,0,0,0
21/02/2021,0,0,0,0,0
22/02/2021,0,0,0,0,0
23/02/2021,0,0,0,0,0
24/02/2021,0,0,0,0,0
25/02/2021,0,0,0,0,0
26/02/2021,0,0,0,0,0
27/02/2021,0,0,0,0,0
28/02/2021,0,0,0,0,0
01/03/2021,0,0,0,0,0
02/03/2021,0,0,0,0,0
03/03/2021,0,0,0,0,0
04/03/2021,0,0,0,0,0
05/03/2021,0,0,0,0,0
06/03/2021,0,0,0,0,0
07/03/2021,0,0,0,0,0
08/03/2021,0,0,0,0,0
09/03/2021,0,0,0,0,0
10/03/2021,0,0,0,0,0
11/03/2021,0,0,152,0,152
12/03/2021,0,0,0,0,0
13/03/2021,0,0,0,0,0
14/03/2021,0,0,0,0,0
15/03/2021,0,0,0,0,0
16/03/2021,0,0,0,0,0
17/03/2021,0,0,0,0,0
18/03/2021,0,0,0,0,0
19/03/2021,0,0,0,0,0
20/03/2021,0,0,0,0,0
21/03/2021,0,0,0,0,0
22/03/2021,0,0,77,0,77
23/03/2021,0,0,0,0,0
24/03/2021,0,0,0,0,0
25/03/2021,96,227,0,170,493
26/03/2021,0,0,0,0,0
27/03/2021,44,0,0,0,44
28/03/2021,0,0,0,0,0
29/03/2021,0,0,0,0,0
30/03/2021,0,0,0,0,0
31/03/2021,0,170,0,0,170
01/04/2021,0,0,0,0,0
02/04/2021,0,0,0,0,0
03/04/2021,0,0,0,0,0
04/04/2021,498,286,280,166,1.230
05/04/2021,59,222,0,0,280
06/04/2021,0,165,0,83,248
07/04/2021,0,0,0,0,0
08/04/2021,0,0,0,0,0
09/04/2021,0,0,157,0,157
10/04/2021,0,0,0,0,0
11/04/2021,0,0,0,0,0
12/04/2021,0,0,0,0,0
13/04/2021,0,0,0,0,0
14/04/2021,0,0,0,0,0
15/04/2021,0,0,0,0,0
16/04/2021,0,108,0,0,108
17/04/2021,0,0,0,0,0
