date,service,kitchen,Management,dishwasher,Total
01/01/2020,196,107,0,52,356
02/01/2020,187,121,0,56,375
03/01/2020,225,106,4,55,390
04/01/2020,217,132,0,56,405
05/01/2020,161,104,6,43,314
06/01/2020,118,89,2,51,273
07/01/2020,117,91,3,48,271
08/01/2020,108,75,25,49,271
09/01/2020,117,83,2,44,254
10/01/2020,182,82,0,43,314
11/01/2020,209,107,0,54,369
12/01/2020,149,111,0,45,305
13/01/2020,118,89,0,50,266
14/01/2020,105,82,10,42,252
15/01/2020,108,89,18,46,274
16/01/2020,125,82,1,38,254
17/01/2020,174,84,7,40,313
18/01/2020,189,116,0,52,356
19/01/2020,156,106,0,45,307
20/01/2020,115,93,0,42,260
21/01/2020,118,76,2,39,238
22/01/2020,105,89,23,39,262
23/01/2020,126,83,0,46,265
24/01/2020,159,93,0,46,309
25/01/2020,204,114,0,52,370
26/01/2020,182,101,0,45,335
27/01/2020,109,92,0,39,241
28/01/2020,109,82,0,45,249
29/01/2020,119,89,8,39,260
30/01/2020,138,88,5,45,283
31/01/2020,168,88,0,53,308
01/02/2020,193,108,0,49,351
02/02/2020,157,98,0,39,294
03/02/2020,115,88,1,50,261
04/02/2020,126,79,4,44,262
05/02/2020,115,82,5,42,257
06/02/2020,116,87,0,54,261
07/02/2020,158,101,0,63,322
08/02/2020,197,114,0,50,362
09/02/2020,141,98,0,47,286
10/02/2020,114,92,0,55,267
11/02/2020,137,92,4,32,280
12/02/2020,145,91,13,54,306
13/02/2020,140,87,0,55,286
14/02/2020,150,104,0,61,315
15/02/2020,186,113,0,63,362
16/02/2020,161,108,0,48,318
17/02/2020,130,89,4,53,280
18/02/2020,122,87,0,39,262
19/02/2020,117,89,10,49,270
20/02/2020,121,86,2,58,271
21/02/2020,173,99,0,49,339
22/02/2020,203,115,0,61,380
23/02/2020,163,106,0,48,317
24/02/2020,120,91,4,60,279
25/02/2020,131,85,10,48,278
26/02/2020,119,82,0,53,254
27/02/2020,126,86,7,42,265
28/02/2020,164,99,5,68,336
29/02/2020,199,112,0,62,373
01/03/2020,161,102,0,47,310
02/03/2020,113,81,0,56,255
03/03/2020,110,84,0,53,251
04/03/2020,91,86,21,52,253
05/03/2020,127,83,7,53,274
06/03/2020,152,104,0,57,322
07/03/2020,167,111,0,56,334
08/03/2020,151,108,0,47,306
09/03/2020,102,88,1,43,246
10/03/2020,91,73,0,51,219
11/03/2020,89,61,18,48,220
12/03/2020,94,74,5,44,223
13/03/2020,98,72,3,41,221
14/03/2020,87,73,3,37,200
15/03/2020,50,55,1,25,132
16/03/2020,5,0,0,0,5
17/03/2020,0,0,0,0,5
18/03/2020,0,0,0,0,0
19/03/2020,0,0,0,0,0
20/03/2020,0,0,0,0,0
21/03/2020,0,0,0,0,0
22/03/2020,0,0,0,0,0
23/03/2020,0,0,0,0,0
24/03/2020,0,0,0,0,2
25/03/2020,0,0,0,0,0
26/03/2020,0,0,0,0,0
27/03/2020,0,0,0,0,0
28/03/2020,0,0,0,0,0
29/03/2020,0,0,0,0,0
30/03/2020,0,0,0,0,0
31/03/2020,0,0,0,0,0
01/04/2020,0,0,0,0,0
02/04/2020,0,0,0,0,0
03/04/2020,0,0,0,0,0
04/04/2020,0,0,0,0,0
05/04/2020,0,0,0,0,0
06/04/2020,0,0,0,0,0
07/04/2020,0,0,0,0,0
08/04/2020,0,0,0,0,0
09/04/2020,0,0,0,0,0
10/04/2020,0,0,0,0,0
11/04/2020,0,0,0,0,0
12/04/2020,0,0,0,0,0
13/04/2020,0,0,0,0,0
14/04/2020,0,0,0,0,0
15/04/2020,0,0,0,0,0
16/04/2020,0,0,0,0,0
17/04/2020,0,0,0,0,0
18/04/2020,0,0,0,0,0
19/04/2020,0,0,0,0,0
20/04/2020,0,0,0,0,0
21/04/2020,0,0,0,0,0
22/04/2020,0,0,0,0,0
23/04/2020,0,0,0,0,0
24/04/2020,0,0,0,0,0
25/04/2020,0,0,0,0,0
26/04/2020,0,0,0,0,0
27/04/2020,0,0,0,0,0
28/04/2020,0,0,0,0,0
29/04/2020,0,0,0,0,0
30/04/2020,0,0,0,0,0
01/05/2020,0,0,0,0,0
02/05/2020,0,0,0,0,0
03/05/2020,6,0,0,0,6
04/05/2020,0,0,0,0,0
05/05/2020,0,0,0,0,0
06/05/2020,0,0,0,0,0
07/05/2020,0,0,0,0,0
08/05/2020,0,0,0,0,0
09/05/2020,0,0,0,0,0
10/05/2020,0,0,0,0,0
11/05/2020,0,0,0,0,0
12/05/2020,0,0,0,0,0
13/05/2020,0,0,0,0,0
14/05/2020,0,3,0,0,3
15/05/2020,0,0,0,0,0
16/05/2020,0,0,0,4,4
17/05/2020,0,0,0,0,0
18/05/2020,0,0,0,0,0
19/05/2020,0,0,0,0,0
20/05/2020,0,0,0,0,0
21/05/2020,0,0,0,0,0
22/05/2020,0,0,0,0,0
23/05/2020,0,0,0,0,0
24/05/2020,0,0,0,0,0
25/05/2020,0,0,0,0,0
26/05/2020,0,0,0,0,0
27/05/2020,0,0,0,0,0
28/05/2020,0,0,0,0,0
29/05/2020,0,0,0,0,0
30/05/2020,0,0,0,0,0
31/05/2020,0,5,11,0,16
01/06/2020,108,68,0,9,185
02/06/2020,78,53,0,6,137
03/06/2020,57,51,2,6,115
04/06/2020,58,53,0,7,118
05/06/2020,57,59,0,13,130
06/06/2020,59,66,0,14,139
07/06/2020,51,62,0,7,120
08/06/2020,49,52,0,13,114
09/06/2020,41,44,0,14,98
10/06/2020,56,47,0,8,110
11/06/2020,58,49,0,7,114
12/06/2020,62,58,0,18,138
13/06/2020,77,68,0,17,163
14/06/2020,52,56,0,14,122
15/06/2020,43,60,0,12,115
16/06/2020,43,48,0,15,107
17/06/2020,48,48,0,16,112
18/06/2020,49,59,0,14,122
19/06/2020,69,55,0,17,141
20/06/2020,69,69,7,16,161
21/06/2020,65,63,0,20,148
22/06/2020,52,52,0,16,120
23/06/2020,94,26,0,0,120
24/06/2020,105,16,0,0,121
25/06/2020,137,3,0,0,140
26/06/2020,144,0,0,0,144
27/06/2020,141,26,0,7,173
28/06/2020,72,54,0,21,147
29/06/2020,42,64,0,6,112
30/06/2020,54,36,0,9,99
01/07/2020,66,57,0,16,138
02/07/2020,65,70,0,14,149
03/07/2020,85,63,0,33,180
04/07/2020,116,70,0,30,216
05/07/2020,99,64,0,29,192
06/07/2020,55,64,0,14,132
07/07/2020,76,46,0,15,138
08/07/2020,53,55,3,21,131
09/07/2020,61,66,5,13,146
10/07/2020,91,61,0,27,179
11/07/2020,126,74,0,35,235
12/07/2020,100,68,0,31,199
13/07/2020,80,63,0,16,159
14/07/2020,76,50,4,15,145
15/07/2020,74,61,6,16,157
16/07/2020,69,68,0,14,150
17/07/2020,107,65,0,27,199
18/07/2020,154,62,0,26,243
19/07/2020,105,64,0,32,201
20/07/2020,80,68,0,15,163
21/07/2020,83,47,1,14,146
22/07/2020,75,63,5,14,156
23/07/2020,84,70,0,14,167
24/07/2020,93,55,0,33,180
25/07/2020,125,69,0,36,230
26/07/2020,102,59,0,30,191
27/07/2020,70,57,0,25,152
28/07/2020,86,54,0,27,166
29/07/2020,90,64,1,26,181
30/07/2020,90,65,3,25,183
31/07/2020,124,61,0,28,213
01/08/2020,156,58,0,37,251
02/08/2020,91,57,0,34,182
03/08/2020,72,57,0,24,162
04/08/2020,82,53,0,25,160
05/08/2020,94,61,3,24,182
06/08/2020,84,68,0,24,184
07/08/2020,90,64,0,35,189
08/08/2020,129,66,0,44,240
09/08/2020,109,70,0,27,206
10/08/2020,81,73,0,19,172
11/08/2020,93,49,0,26,168
12/08/2020,157,11,2,12,182
13/08/2020,126,36,0,13,175
14/08/2020,116,57,0,33,207
15/08/2020,139,72,0,43,254
16/08/2020,91,66,0,26,184
17/08/2020,72,65,0,18,155
18/08/2020,75,56,0,24,156
19/08/2020,91,64,1,24,180
20/08/2020,69,68,0,25,161
21/08/2020,106,68,0,33,207
22/08/2020,120,72,0,40,232
23/08/2020,101,61,0,26,188
24/08/2020,61,62,3,24,150
25/08/2020,70,49,8,23,150
26/08/2020,78,48,9,23,159
27/08/2020,67,56,0,23,154
28/08/2020,104,53,0,33,190
29/08/2020,109,70,0,40,226
30/08/2020,102,50,0,26,178
31/08/2020,66,62,0,34,162
01/09/2020,69,42,7,30,155
02/09/2020,67,53,11,34,173
03/09/2020,61,54,0,35,150
04/09/2020,108,66,0,44,219
05/09/2020,114,70,0,43,234
06/09/2020,86,58,0,32,177
07/09/2020,67,50,2,26,153
08/09/2020,58,47,8,27,145
09/09/2020,58,47,10,22,142
10/09/2020,65,49,0,25,139
11/09/2020,95,58,1,26,180
12/09/2020,112,67,2,37,217
13/09/2020,86,55,0,32,173
14/09/2020,65,55,3,24,154
15/09/2020,68,48,0,25,141
16/09/2020,57,52,2,24,135
17/09/2020,72,55,3,24,153
18/09/2020,90,62,1,28,181
19/09/2020,107,73,0,28,208
20/09/2020,68,61,0,25,153
21/09/2020,53,57,7,20,153
22/09/2020,56,50,3,16,126
23/09/2020,46,48,7,15,116
24/09/2020,52,58,2,16,135
25/09/2020,76,59,2,22,166
26/09/2020,102,74,0,27,203
27/09/2020,64,56,0,17,137
28/09/2020,52,50,3,16,121
29/09/2020,38,52,1,13,108
30/09/2020,42,40,5,11,98
01/10/2020,39,38,0,15,96
02/10/2020,65,46,2,19,132
03/10/2020,63,45,0,23,131
04/10/2020,57,50,0,34,141
05/10/2020,28,42,4,12,96
06/10/2020,38,41,0,5,84
07/10/2020,40,40,4,12,96
08/10/2020,34,41,7,11,93
09/10/2020,57,39,0,13,109
10/10/2020,68,58,0,22,147
11/10/2020,52,51,0,15,118
12/10/2020,35,44,1,12,92
13/10/2020,43,43,0,12,98
14/10/2020,62,44,0,11,117
15/10/2020,16,6,2,8,33
16/10/2020,35,6,0,11,51
17/10/2020,6,0,0,0,6
18/10/2020,0,0,0,0,0
19/10/2020,0,0,0,0,0
20/10/2020,0,0,0,0,0
21/10/2020,0,0,0,0,0
22/10/2020,6,0,2,0,8
23/10/2020,0,0,3,0,3
24/10/2020,0,0,3,0,3
25/10/2020,5,0,0,0,5
26/10/2020,4,0,0,0,4
27/10/2020,0,0,1,0,1
28/10/2020,0,0,0,0,0
29/10/2020,6,3,5,0,14
30/10/2020,4,0,0,0,6
31/10/2020,0,0,0,0,0
01/11/2020,4,0,0,0,4
02/11/2020,0,0,0,0,0
03/11/2020,0,0,0,0,0
04/11/2020,0,0,0,0,0
05/11/2020,9,0,4,0,19
06/11/2020,0,0,0,0,0
07/11/2020,0,0,0,0,0
08/11/2020,2,0,0,0,2
09/11/2020,0,0,0,0,0
10/11/2020,0,0,0,0,5
11/11/2020,0,0,0,0,6
12/11/2020,0,0,0,0,7
13/11/2020,0,0,0,0,6
14/11/2020,2,0,0,0,2
15/11/2020,0,0,0,0,0
16/11/2020,0,0,0,0,5
17/11/2020,0,0,0,0,5
18/11/2020,4,0,6,0,16
19/11/2020,2,0,0,0,10
20/11/2020,4,0,0,0,17
21/11/2020,0,0,0,0,0
22/11/2020,0,0,0,0,0
23/11/2020,0,0,0,0,7
24/11/2020,0,0,0,0,6
25/11/2020,0,0,0,0,6
26/11/2020,0,0,0,0,7
27/11/2020,0,0,0,0,6
28/11/2020,3,0,0,0,3
29/11/2020,0,0,0,0,0
30/11/2020,0,0,0,0,6
01/12/2020,0,0,0,0,0
02/12/2020,0,0,0,0,0
03/12/2020,0,0,0,0,0
04/12/2020,0,0,0,0,0
05/12/2020,0,0,0,0,0
06/12/2020,0,0,0,0,0
07/12/2020,0,0,0,0,0
08/12/2020,0,0,0,0,0
09/12/2020,0,0,2,0,2
10/12/2020,0,0,0,0,0
11/12/2020,3,0,0,0,3
12/12/2020,1,0,0,0,1
13/12/2020,0,0,0,0,0
14/12/2020,0,0,0,0,0
15/12/2020,0,0,0,0,0
16/12/2020,0,0,0,0,0
17/12/2020,3,0,0,0,3
18/12/2020,11,8,0,12,32
19/12/2020,2,0,0,0,2
20/12/2020,2,0,0,0,2
21/12/2020,0,15,0,3,21
22/12/2020,4,20,0,0,24
23/12/2020,10,65,10,18,102
24/12/2020,9,34,0,13,63
25/12/2020,16,25,8,6,61
26/12/2020,0,6,0,3,9
27/12/2020,0,6,0,0,6
28/12/2020,0,9,0,0,12
29/12/2020,6,12,4,0,21
30/12/2020,6,22,7,6,41
31/12/2020,13,25,6,6,54
01/01/2021,12,2,0,4,18
02/01/2021,0,0,0,0,0
03/01/2021,0,0,0,0,0
04/01/2021,0,0,0,0,0
05/01/2021,6,0,0,0,11
06/01/2021,0,0,0,0,6
07/01/2021,0,0,0,0,0
08/01/2021,4,0,3,0,7
09/01/2021,5,0,0,0,5
10/01/2021,0,0,0,0,0
11/01/2021,4,0,0,0,4
12/01/2021,5,0,0,0,5
13/01/2021,0,0,0,0,0
14/01/2021,0,0,4,0,4
15/01/2021,0,0,5,0,5
16/01/2021,2,0,0,0,2
17/01/2021,0,0,0,0,0
18/01/2021,0,0,0,0,0
19/01/2021,0,0,0,0,0
20/01/2021,0,0,0,0,0
21/01/2021,0,0,0,0,0
22/01/2021,2,0,0,0,2
23/01/2021,1,0,0,0,1
24/01/2021,0,0,0,0,0
25/01/2021,0,0,0,0,0
26/01/2021,0,0,0,0,0
27/01/2021,0,0,0,0,0
28/01/2021,0,0,0,0,0
29/01/2021,1,0,0,0,1
30/01/2021,2,0,0,0,2
31/01/2021,0,0,0,0,0
01/02/2021,0,0,0,0,0
02/02/2021,0,0,0,0,0
03/02/2021,0,0,0,0,0
04/02/2021,0,0,0,0,0
05/02/2021,0,0,0,0,0
06/02/2021,0,0,0,0,0
07/02/2021,0,0,0,0,0
08/02/2021,0,0,0,0,0
09/02/2021,0,0,0,0,0
10/02/2021,0,0,0,0,0
11/02/2021,0,0,0,0,0
12/02/2021,0,0,0,0,0
