date,service,kitchen,dishwasher
01/01/2020,196.0,107.0,52.0
02/01/2020,187.0,121.0,56.0
03/01/2020,225.0,106.0,55.0
04/01/2020,217.0,132.0,56.0
05/01/2020,161.0,104.0,43.0
06/01/2020,118.0,89.0,51.0
07/01/2020,117.0,91.0,48.0
08/01/2020,108.0,75.0,49.0
09/01/2020,117.0,83.0,44.0
10/01/2020,182.0,82.0,43.0
11/01/2020,209.0,107.0,54.0
12/01/2020,149.0,111.0,45.0
13/01/2020,118.0,89.0,50.0
14/01/2020,105.0,82.0,42.0
15/01/2020,108.0,89.0,46.0
16/01/2020,125.0,82.0,38.0
17/01/2020,174.0,84.0,40.0
18/01/2020,189.0,116.0,52.0
19/01/2020,156.0,106.0,45.0
20/01/2020,115.0,93.0,42.0
21/01/2020,118.0,76.0,39.0
22/01/2020,105.0,89.0,39.0
23/01/2020,126.0,83.0,46.0
24/01/2020,159.0,93.0,46.0
25/01/2020,204.0,114.0,52.0
26/01/2020,182.0,101.0,45.0
27/01/2020,109.0,92.0,39.0
28/01/2020,109.0,82.0,45.0
29/01/2020,119.0,89.0,39.0
30/01/2020,138.0,88.0,45.0
31/01/2020,168.0,88.0,53.0
01/02/2020,193.0,108.0,49.0
02/02/2020,157.0,98.0,39.0
03/02/2020,115.0,88.0,50.0
04/02/2020,126.0,79.0,44.0
05/02/2020,115.0,82.0,42.0
06/02/2020,116.0,87.0,54.0
07/02/2020,158.0,101.0,63.0
08/02/2020,197.0,114.0,50.0
09/02/2020,141.0,98.0,47.0
10/02/2020,114.0,92.0,55.0
11/02/2020,137.0,92.0,32.0
12/02/2020,145.0,91.0,54.0
13/02/2020,140.0,87.0,55.0
14/02/2020,150.0,104.0,61.0
15/02/2020,186.0,113.0,63.0
16/02/2020,161.0,108.0,48.0
17/02/2020,130.0,89.0,53.0
18/02/2020,122.0,87.0,39.0
19/02/2020,117.0,89.0,49.0
20/02/2020,121.0,86.0,58.0
21/02/2020,173.0,99.0,49.0
22/02/2020,203.0,115.0,61.0
23/02/2020,163.0,106.0,48.0
24/02/2020,120.0,91.0,60.0
25/02/2020,131.0,85.0,48.0
26/02/2020,119.0,82.0,53.0
27/02/2020,126.0,86.0,42.0
28/02/2020,164.0,99.0,68.0
29/02/2020,199.0,112.0,62.0
01/03/2020,161.0,102.0,47.0
02/03/2020,113.0,81.0,56.0
03/03/2020,110.0,84.0,53.0
04/03/2020,91.0,86.0,52.0
05/03/2020,127.0,83.0,53.0
06/03/2020,152.0,104.0,57.0
07/03/2020,167.0,111.0,56.0
08/03/2020,151.0,108.0,47.0
09/03/2020,102.0,88.0,43.0
10/03/2020,91.0,73.0,51.0
11/03/2020,89.0,61.0,48.0
12/03/2020,94.0,74.0,44.0
13/03/2020,98.0,72.0,41.0
14/03/2020,87.0,73.0,37.0
15/03/2020,50.0,55.0,25.0
16/03/2020,5.0,0.0,0.0
17/03/2020,0.0,0.0,0.0
18/03/2020,0.0,0.0,0.0
19/03/2020,0.0,0.0,0.0
20/03/2020,0.0,0.0,0.0
21/03/2020,0.0,0.0,0.0
22/03/2020,0.0,0.0,0.0
23/03/2020,0.0,0.0,0.0
24/03/2020,0.0,0.0,0.0
25/03/2020,0.0,0.0,0.0
26/03/2020,0.0,0.0,0.0
27/03/2020,0.0,0.0,0.0
28/03/2020,0.0,0.0,0.0
29/03/2020,0.0,0.0,0.0
30/03/2020,0.0,0.0,0.0
31/03/2020,0.0,0.0,0.0
01/04/2020,0.0,0.0,0.0
02/04/2020,0.0,0.0,0.0
03/04/2020,0.0,0.0,0.0
04/04/2020,0.0,0.0,0.0
05/04/2020,0.0,0.0,0.0
06/04/2020,0.0,0.0,0.0
07/04/2020,0.0,0.0,0.0
08/04/2020,0.0,0.0,0.0
09/04/2020,0.0,0.0,0.0
10/04/2020,0.0,0.0,0.0
11/04/2020,0.0,0.0,0.0
12/04/2020,0.0,0.0,0.0
13/04/2020,0.0,0.0,0.0
14/04/2020,0.0,0.0,0.0
15/04/2020,0.0,0.0,0.0
16/04/2020,0.0,0.0,0.0
17/04/2020,0.0,0.0,0.0
18/04/2020,0.0,0.0,0.0
19/04/2020,0.0,0.0,0.0
20/04/2020,0.0,0.0,0.0
21/04/2020,0.0,0.0,0.0
22/04/2020,0.0,0.0,0.0
23/04/2020,0.0,0.0,0.0
24/04/2020,0.0,0.0,0.0
25/04/2020,0.0,0.0,0.0
26/04/2020,0.0,0.0,0.0
27/04/2020,0.0,0.0,0.0
28/04/2020,0.0,0.0,0.0
29/04/2020,0.0,0.0,0.0
30/04/2020,0.0,0.0,0.0
01/05/2020,0.0,0.0,0.0
02/05/2020,0.0,0.0,0.0
03/05/2020,6.0,0.0,0.0
04/05/2020,0.0,0.0,0.0
05/05/2020,0.0,0.0,0.0
06/05/2020,0.0,0.0,0.0
07/05/2020,0.0,0.0,0.0
08/05/2020,0.0,0.0,0.0
09/05/2020,0.0,0.0,0.0
10/05/2020,0.0,0.0,0.0
11/05/2020,0.0,0.0,0.0
12/05/2020,0.0,0.0,0.0
13/05/2020,0.0,0.0,0.0
14/05/2020,0.0,3.0,0.0
15/05/2020,0.0,0.0,0.0
16/05/2020,0.0,0.0,4.0
17/05/2020,0.0,0.0,0.0
18/05/2020,0.0,0.0,0.0
19/05/2020,0.0,0.0,0.0
20/05/2020,0.0,0.0,0.0
21/05/2020,0.0,0.0,0.0
22/05/2020,0.0,0.0,0.0
23/05/2020,0.0,0.0,0.0
24/05/2020,0.0,0.0,0.0
25/05/2020,0.0,0.0,0.0
26/05/2020,0.0,0.0,0.0
27/05/2020,0.0,0.0,0.0
28/05/2020,0.0,0.0,0.0
29/05/2020,0.0,0.0,0.0
