date,service_hrs,kitchen_hrs,dishwasher_hrs,service_per,kitchen_per,dishwasher_per,total_per,total_hrs
2020-01-01,196,107,52,17,12,3,32,355
2020-01-02,187,121,56,9,8,2,19,364
2020-01-03,225,106,55,15,8,2,25,386
2020-01-04,217,132,56,12,9,2,23,405
2020-01-05,161,104,43,11,9,2,22,308
2020-01-06,118,89,51,12,11,4,27,258
2020-01-07,117,91,48,18,14,4,36,256
2020-01-08,108,75,49,17,13,5,35,232
2020-01-09,117,83,44,17,12,4,33,244
2020-01-10,182,82,43,15,9,3,27,307
2020-01-11,209,107,54,12,8,3,23,370
2020-01-12,149,111,45,12,11,3,26,305
2020-01-13,118,89,50,13,11,3,27,257
2020-01-14,105,82,42,14,12,5,31,229
2020-01-15,108,89,46,12,10,5,27,243
2020-01-16,125,82,38,14,10,3,27,245
2020-01-17,174,84,40,16,9,3,28,298
2020-01-18,189,116,52,11,8,3,22,357
2020-01-19,156,106,45,13,9,3,25,307
2020-01-20,115,93,42,14,12,5,31,250
2020-01-21,118,76,39,15,10,4,29,233
2020-01-22,105,89,39,12,11,4,27,233
2020-01-23,126,83,46,13,9,4,26,255
2020-01-24,159,93,46,12,9,3,24,298
2020-01-25,204,114,52,10,7,3,20,370
2020-01-26,182,101,45,12,8,3,23,328
2020-01-27,109,92,39,12,11,4,27,240
2020-01-28,109,82,45,11,9,4,24,236
2020-01-29,119,89,39,12,11,3,26,247
2020-01-30,138,88,45,11,9,3,23,271
2020-01-31,168,88,53,13,8,4,25,309
2020-02-01,193,108,49,11,7,3,21,350
2020-02-02,157,98,39,13,9,3,25,294
2020-02-03,115,88,50,13,11,5,29,253
2020-02-04,126,79,44,13,9,4,26,249
2020-02-05,115,82,42,14,11,5,30,239
2020-02-06,116,87,54,12,10,5,27,257
2020-02-07,158,101,63,13,9,5,27,322
2020-02-08,197,114,50,11,7,3,21,361
2020-02-09,141,98,47,14,11,4,29,286
2020-02-10,114,92,55,13,12,6,31,261
2020-02-11,137,92,32,14,10,3,27,261
2020-02-12,145,91,54,13,8,4,25,290
2020-02-13,140,87,55,12,9,4,25,282
2020-02-14,150,104,61,9,7,4,20,315
2020-02-15,186,113,63,9,7,3,19,362
2020-02-16,161,108,48,13,9,3,25,317
2020-02-17,130,89,53,14,9,5,28,272
2020-02-18,122,87,39,14,11,4,29,248
2020-02-19,117,89,49,12,10,5,27,255
2020-02-20,121,86,58,12,11,6,29,265
2020-02-21,173,99,49,11,8,3,22,321
2020-02-22,203,115,61,10,7,3,20,379
2020-02-23,163,106,48,10,8,3,21,317
2020-02-24,120,91,60,12,12,6,30,271
2020-02-25,131,85,48,12,10,5,27,264
2020-02-26,119,82,53,13,10,5,28,254
2020-02-27,126,86,42,13,10,4,27,254
2020-02-28,164,99,68,11,10,6,27,331
2020-02-29,199,112,62,11,8,4,23,373
2020-03-01,161,102,47,11,9,4,24,310
2020-03-02,113,81,56,16,13,7,36,250
2020-03-03,110,84,53,13,11,6,30,247
2020-03-04,91,86,52,14,15,8,37,229
2020-03-05,127,83,53,15,11,6,32,263
2020-03-06,152,104,57,12,10,4,26,313
2020-03-07,167,111,56,9,7,3,19,334
2020-03-08,151,108,47,11,9,3,23,306
2020-03-09,102,88,43,13,13,5,31,233
2020-03-10,91,73,51,16,14,8,38,215
2020-03-11,89,61,48,11,9,6,26,198
2020-03-12,94,74,44,15,12,6,33,212
2020-03-13,98,72,41,16,12,6,34,211
2020-03-14,87,73,37,12,10,4,26,197
2020-03-15,50,55,25,24,27,10,61,130
2020-03-16,5,0,0,0,0,0,0,5
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0
2020-05-03,6,0,0,0,0,0,0,6
2020-05-04,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0
2020-05-14,0,3,0,0,0,0,0,3
2020-05-15,0,0,0,0,0,0,0,0
2020-05-16,0,0,4,0,0,0,0,4
2020-05-17,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0
2020-05-31,0,5,0,0,0,0,0,5
2020-06-01,108,68,9,30,20,2,52,185
2020-06-02,78,53,6,28,20,1,49,137
2020-06-03,57,51,6,21,17,2,40,114
2020-06-04,58,53,7,22,17,2,41,118
2020-06-05,57,59,13,20,19,3,42,129
2020-06-06,59,66,14,15,16,3,34,139
2020-06-07,51,62,7,16,19,2,37,120
2020-06-08,49,52,13,21,22,4,47,114
2020-06-09,41,44,14,21,24,6,51,99
2020-06-10,56,47,8,16,15,2,33,111
2020-06-11,58,49,7,16,12,1,29,114
2020-06-12,62,58,18,14,12,3,29,138
2020-06-13,77,68,17,12,10,2,24,162
2020-06-14,52,56,14,15,16,3,34,122
2020-06-15,43,60,12,17,25,3,45,115
2020-06-16,43,48,15,17,20,5,42,106
2020-06-17,48,48,16,17,16,4,37,112
2020-06-18,49,59,14,17,21,4,42,122
2020-06-19,69,55,17,15,12,3,30,141
